testN,value,infelicity
1,11.69,0.00
2,11.68,0.01
3,11.67,0.02
4,11.65,0.04
5,11.65,0.04
6,11.66,0.03
7,11.65,0.04
8,11.69,0.00
9,11.65,0.04
10,11.66,0.03
11,11.66,0.03
12,11.66,0.03
13,11.68,0.01
14,11.66,0.03
15,11.69,0.00
16,11.71,0.02
17,11.70,0.01
18,11.68,0.01
19,11.71,0.02
20,11.69,0.00
21,11.72,0.03
22,11.73,0.04
23,11.71,0.02
24,11.71,0.02
25,11.71,0.02
26,11.70,0.01
27,11.72,0.03
28,11.69,0.00
29,11.70,0.01
30,11.71,0.02
31,11.70,0.01
32,11.71,0.02
33,11.71,0.02
34,11.69,0.00
35,11.68,0.01
36,11.69,0.00
37,11.68,0.01
38,11.68,0.01
39,11.71,0.02
40,11.70,0.01
41,11.69,0.00
42,11.71,0.02
43,11.69,0.00
44,11.71,0.02
45,11.71,0.02
46,11.71,0.02
47,11.69,0.00
48,11.71,0.02
49,11.70,0.01
50,11.67,0.02
Average: 51,11.69,0.02
